Username, Password, Highest Score: 000000, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Greexoff, Beka3, Highest Score: 099200, AllTrinket: 1, DamageTrinket: 1, HealthTrinket: 1, SpeedTrinket: 1, TearRateTrinket: 1, TearSpeedTrinket: 1, 
Player1, Password, Highest Score: 007600, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 1, TearSpeedTrinket: 0, 
Player2, Password, Highest Score: 320000, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 1, TearSpeedTrinket: 0, 
Player3, Password, Highest Score: 000100, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player4, Password, Highest Score: 062000, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player5, Password, Highest Score: 625600, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player6, Password, Highest Score: 550000, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player7, Password, Highest Score: 015300, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player8, Password, Highest Score: 050200, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player9, Password, Highest Score: 000636, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,
Player10, Password, Highest Score: 012345, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 0, TearSpeedTrinket: 0,

Player11, Password, Highest Score: 007300, AllTrinket: 0, DamageTrinket: 1, HealthTrinket: 0, SpeedTrinket: 0, TearRateTrinket: 1, TearSpeedTrinket: 0, 
